epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353,1.17791,2.06929,1.10359,0.85094,0.74671,0.81936,0.51364,1.27315,1.91458,1.32334,0.000662745,0.000662745,0.000662745
2,700.833,1.24393,1.42344,1.14571,0.94609,0.6962,0.82351,0.5266,1.27736,1.51817,1.29163,0.00128554,0.00128554,0.00128554
3,1028.5,1.25077,1.22443,1.14463,0.90611,0.72574,0.83065,0.51902,1.29309,1.56148,1.30445,0.00186434,0.00186434,0.00186434
