epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.462,1.57187,2.7456,1.35022,0.6997,0.04745,0.33027,0.18761,1.36197,3.14288,1.13833,0.000547247,0.000547247,0.000547247
2,327.417,1.44793,1.8425,1.24635,0.59594,0.51065,0.52807,0.29257,1.4932,2.37117,1.30438,0.00106652,0.00106652,0.00106652
3,495.87,1.44223,1.6911,1.2676,0.53616,0.68854,0.60247,0.32954,1.37502,1.84373,1.27413,0.00154911,0.00154911,0.00154911
4,1348.4,1.44189,1.58973,1.2696,0.65279,0.70506,0.61592,0.33838,1.47018,1.73295,1.30564,0.00150197,0.00150197,0.00150197
